,region,topic_order,importance,topic_name,top_words,abs_imp,base_rate,n_topics,r2,voxels,Color
487,10,7,0.002355431774984084,topic15,motor movement movements,0.002355431774984084,0.019602335705801652,60,0.12466105448376875,4355,0.11864406779661017
496,10,16,-0.0020922191887955285,topic23,social empathy moral,0.0020922191887955285,0.019602335705801652,60,0.12466105448376875,4355,0.2711864406779661
497,10,17,-0.0035159906937984567,topic24,stimulation somatosensory tms,0.0035159906937984567,0.019602335705801652,60,0.12466105448376875,4355,0.288135593220339
498,10,18,-0.0025294601750371656,topic25,network resting default,0.0025294601750371656,0.019602335705801652,60,0.12466105448376875,4355,0.3050847457627119
509,10,29,-0.00394766639916724,topic35,emotional emotion negative,0.00394766639916724,0.019602335705801652,60,0.12466105448376875,4355,0.4915254237288136
511,10,31,0.006541538811446049,topic37,language speech production,0.006541538811446049,0.019602335705801652,60,0.12466105448376875,4355,0.5254237288135594
512,10,32,0.010075337882811595,topic38,reading word words,0.010075337882811595,0.019602335705801652,60,0.12466105448376875,4355,0.5423728813559322
519,10,39,0.0006535139226211659,topic44,inhibition control inhibitory,0.0006535139226211659,0.019602335705801652,60,0.12466105448376875,4355,0.6610169491525424
520,10,40,-0.0063214486167988745,topic45,volume gray voxel,0.0063214486167988745,0.019602335705801652,60,0.12466105448376875,4355,0.6779661016949152
526,10,46,-0.0021916575546002555,topic50,fear anxiety threat,0.0021916575546002555,0.019602335705801652,60,0.12466105448376875,4355,0.7796610169491526
529,10,49,-0.0017362328783838512,topic53,food taste body,0.0017362328783838512,0.019602335705801652,60,0.12466105448376875,4355,0.8305084745762712
533,10,53,0.012089444017443978,topic57,memory performance cognitive,0.012089444017443978,0.019602335705801652,60,0.12466105448376875,4355,0.8983050847457628
535,10,55,-0.0001690731423775468,topic59,pain painful stimulation,0.0001690731423775468,0.019602335705801652,60,0.12466105448376875,4355,0.9322033898305084
603,12,3,0.0006500208225386158,topic11,memory events imagery,0.0006500208225386158,0.010756052451781814,60,0.07647660360182654,13233,0.05084745762711865
607,12,7,-0.0012387955550465693,topic15,motor movement movements,0.0012387955550465693,0.010756052451781814,60,0.07647660360182654,13233,0.11864406779661017
616,12,16,0.00018766303004452196,topic23,social empathy moral,0.00018766303004452196,0.010756052451781814,60,0.07647660360182654,13233,0.2711864406779661
617,12,17,-0.0007204993436899539,topic24,stimulation somatosensory tms,0.0007204993436899539,0.010756052451781814,60,0.07647660360182654,13233,0.288135593220339
618,12,18,0.00038639996121939217,topic25,network resting default,0.00038639996121939217,0.010756052451781814,60,0.07647660360182654,13233,0.3050847457627119
629,12,29,0.0021348222014250834,topic35,emotional emotion negative,0.0021348222014250834,0.010756052451781814,60,0.07647660360182654,13233,0.4915254237288136
631,12,31,-0.0004093726041852882,topic37,language speech production,0.0004093726041852882,0.010756052451781814,60,0.07647660360182654,13233,0.5254237288135594
632,12,32,-0.0005921438052484848,topic38,reading word words,0.0005921438052484848,0.010756052451781814,60,0.07647660360182654,13233,0.5423728813559322
639,12,39,0.0003955880686447028,topic44,inhibition control inhibitory,0.0003955880686447028,0.010756052451781814,60,0.07647660360182654,13233,0.6610169491525424
640,12,40,0.00034848104443198276,topic45,volume gray voxel,0.00034848104443198276,0.010756052451781814,60,0.07647660360182654,13233,0.6779661016949152
646,12,46,0.001547719077848903,topic50,fear anxiety threat,0.001547719077848903,0.010756052451781814,60,0.07647660360182654,13233,0.7796610169491526
649,12,49,0.0012439144692430477,topic53,food taste body,0.0012439144692430477,0.010756052451781814,60,0.07647660360182654,13233,0.8305084745762712
653,12,53,3.6487455149089524e-05,topic57,memory performance cognitive,3.6487455149089524e-05,0.010756052451781814,60,0.07647660360182654,13233,0.8983050847457628
